"Rank","Name","Symbol","marketcap","price (USD)","country"
"39","Lundin Gold","LUG.TO","11882657105","49.2511","Canada"
"40","Alamos Gold","AGI","11075010560","26.31","Canada"
"41","Severstal","CHMF.ME","11066458380","12.74","Russia"
"42","Metso","METSO.HE","11016963670","13.3094","Finland"
"43","Pan American Silver","PAAS","10763664384","29.69","Canada"
"44","Ivanhoe Mines","IVN.TO","10707383234","7.91574","Canada"
"45","Industrias Peñoles","PE&OLES.MX","10633148784","26.7517","Mexico"
"46","Royal Gold","RGLD","10388805632","157.81","United States"
"47","Zhongjin Gold","600489.SS","10272587999","2.11923","China"
"48","Evolution Mining","EVN.AX","10203043816","5.09546","Australia"
"49","Washington H. Soul Pattinson and Company (Soul Patts)","SOL.AX","9815512503","26.6827","Australia"
"50","MP Materials","MP","9516408832","58.22","United States"
"51","Zhaojin Mining Industry Company","1818.HK","9499742423","2.73269","China"
"52","Zangge Mining Company","000408.SZ","9383199655","5.97568","China"
"53","Ganfeng Lithium","002460.SZ","9290091665","4.80732","China"
"54","Harmony Gold","HMY","8962128896","14.15","South Africa"
"55","Boliden","BOL.ST","8841795394","31.1238","Sweden"
"56","Zhejiang Huayou Cobalt","603799.SS","8794330269","5.16842","China"
"57","Lundin Mining","LUN.TO","8622684380","10.0733","Canada"
"58","South32","S32.AX","8612114030","1.91894","Australia"
"59","Impala Platinum","IMP.JO","8608676100","9.59903","South Africa"
"60","Endeavour Mining","EDV.TO","7274157131","29.8407","United Kingdom"
"61","KGHM Polska Miedź","KGH.WA","7155693315","35.7785","Poland"
"62","Tianqi Lithium","002466.SZ","6977322762","4.72366","China"
"63","National Mineral Development Corporation","NMDC.NS","6954075350","0.790971","India"
"64","Sumitomo Metal Mining","5713.T","6357318329","23.1147","Japan"
"65","Chifeng Jilong Gold Mining","600988.SS","6318738455","3.34337","China"
"66","Lynas","LYC.AX","6275120160","6.70815","Australia"
"67","Sibanye-Stillwater","SBSW","5986651136","8.46","South Africa"
"68","MMG Limited","1208.HK","5861912193","0.482839","Australia"
"69","Coeur Mining","CDE","5853227520","9.15","United States"
"70","Western Mining","601168.SS","5415607118","2.2726","China"
"71","Yancoal","YAL.AX","5274188708","3.99427","Australia"
"72","Osisko Gold Royalties","OR","5158179840","27.51","Canada"
"73","United Tractors","UNTR.JK","5042940858","1.38855","Indonesia"
"74","CSN Mineração","CMIN3.SA","4961926749","0.913456","Brazil"
"75","Triple Flag Precious Metals","TFPM","4868303360","23.58","Canada"
"76","Equinox Gold","EQX","4613427200","6.12","Canada"
"77","B2Gold","BTG","4568662528","3.45","Canada"
"78","Capstone Copper","CS.TO","4366641323","5.72907","Canada"
"79","First Majestic Silver","AG","4332809216","8.93","Canada"
"80","Buenaventura Mining Company","BVN","4160925952","16.4","Peru"
"81","Hudbay Minerals","HBM","4086854144","10.34","Canada"
"82","Iamgold","IAG","4041076736","7.02","Canada"
"83","Core Natural Resources","CNR","3874730240","73.58","United States"
"84","Hecla Mining","HL","3864960000","6.11","United States"
"85","NexGen Energy","NXE","3859590656","6.77","Canada"
"86","Orla Mining","ORLA","3830007808","11.78","Canada"
"87","TMC the metals company","TMC","3808868352","7.57","Canada"
"88","NLC India","NLCINDIA.NS","3705020907","2.67194","India"
"89","New Gold","NGD","3582615296","4.52","Canada"
"90","Mineral Resources","MIN.AX","3477849744","17.6973","Australia"
"91","Alliance Resource Partners","ARLP","3459850496","26.94","United States"
"92","China Gold International Resources","CGG.TO","3409515758","8.6009","Canada"
"93","Pilbara Minerals","PLS.AX","3275172212","1.01779","Australia"
"94","Whitehaven Coal","WHC.AX","3254410641","3.90956","Australia"
"95","OceanaGold","OGC.TO","3234548313","13.9947","Canada"
"96","Merdeka Copper Gold","MDKA.JK","3224709301","0.132096","Indonesia"
"97","Perseus Mining","PRU.AX","3150519381","2.32293","Australia"
"98","Uranium Energy","UEC","3101555968","6.98","United States"
"99","Hindustan Copper","HINDCOPPER.NS","3069349347","3.04904","India"
"100","Greatland Gold","GGP.L","2988906116","4.45694","United Kingdom"
"101","Sandstorm Gold","SAND","2835002368","9.67","Canada"
"102","Dundee Precious Metals","DPM.TO","2730943825","16.3417","Canada"
"103","Torex Gold Resources","TXG.TO","2707526249","31.4078","Canada"
"104","Warrior Met Coal","HCC","2650565632","50.43","United States"
"105","K92 Mining","KNT.TO","2604856807","10.8094","Canada"
"106","Exxaro Resources","EXX.JO","2335891600","9.67103","South Africa"
"107","IGO Limited","IGO.AX","2321591000","3.06575","Australia"
"108","MAG Silver","MAG","2276823552","21.94","Canada"
"109","Gold Road Resources","GOR.AX","2268789813","2.08836","Australia"
"110","Vale Indonesia","INCO.JK","2247057394","0.213197","Indonesia"
"111","Codan Limited","CDA.AX","2240207790","12.3379","Australia"
"112","BEML","BEML.NS","2238128374","53.7437","India"
"113","New Hope Corporation","NHC.AX","2230798660","2.63895","Australia"
"114","Regis Resources","RRL.AX","2223532344","2.94194","Australia"
"115","CGN Mining Company","1164.HK","2198071158","0.28792","Hong Kong"
"116","Nickel Industries Limited","NIC.AX","2107252266","0.485437","Australia"
"117","KIOCL","KIOCL.NS","2075100663","3.41439","India"
"118","Fortuna Mining","FSM","2034280576","6.61","Canada"
"119","NovaGold Resources","NG","2014144896","4.95","Canada"
"120","Mitsui Mining &amp; Smelting","5706.T","2002026091","35.0114","Japan"
"121","Paladin Energy","PDN.AX","1999610498","5.01075","Australia"
"122","African Rainbow Minerals","ARI.JO","1997909900","10.1907","South Africa"
"123","Coronado Global Resources","CRN.AX","1947546769","0.105558","Australia"
"124","Wesdome Gold Mines","WDO.TO","1923258852","12.7556","Canada"
"125","Koza Gold","KOZAL.IS","1912743500","0.5918","Turkey"
"126","Hochschild Mining","HOC.L","1889409849","3.67262","United Kingdom"
"127","Skeena Resources","SKE","1889097600","16.46","Canada"
"128","Ramelius Resources","RMS.AX","1873097260","1.61595","Australia"
"129","Calibre Mining","CXB.TO","1867462441","2.17938","Canada"
